gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,AvgMonthlyCharge,NumServices,HasFamily,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TenureGroup_13-24m,TenureGroup_25-48m,TenureGroup_49-72m
0,0,1,0,-1.2774445836787656,0,1,-1.1603229160349193,-0.9941940877241975,0,-1.4472233206598961,-0.9280832414338016,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0.06632741908223598,1,0,-0.2596289419448806,-0.17373981825040702,0,-0.1670591037358556,-0.06323933174628321,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
1,0,0,0,-1.2367242199587352,1,1,-0.3626603559551803,-0.9596491092068432,1,-0.7548788621149842,-0.06323933174628321,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,0,0,0.5142514200025698,0,0,-0.7465354629935549,-0.19524770717404713,0,-0.6248883846655178,-0.06323933174628321,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
0,0,0,0,-1.2367242199587352,1,1,0.19736523310080326,-0.9404574544749797,1,-0.2796601805101928,-0.9280832414338016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,-0.9924020376385531,1,1,1.1595456961969886,-0.6453692184426378,1,1.0514983563528837,0.8016045779412352,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
1,0,0,1,-0.4223169455581282,1,1,0.8089065291619363,-0.14731268909089845,0,0.8414141755694761,0.369182623097476,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
0,0,0,0,-0.9109613101984924,0,0,-1.1636465100352518,-0.8741690378436583,0,-1.036881672233439,-0.9280832414338016,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,1,0,-0.1779947632379461,1,1,1.330710787214099,0.3365155445113559,1,1.5060545372156833,1.2340265327849944,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0
1,0,0,1,1.2064976032430856,1,0,-0.28621769394753876,0.5314762853391825,0,-0.12187821430249375,-0.06323933174628321,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
